Fecha,Precio
14/1/2021,"87,25"
13/1/2021,"89,94"
12/1/2021,"84,25"
11/1/2021,"82,45"
10/1/2021,"66,27"
9/1/2021,"80,66"
8/1/2021,"94,99"
7/1/2021,"88,93"
6/1/2021,"70,60"
5/1/2021,"67,55"
4/1/2021,"59,85"
3/1/2021,"46,93"
2/1/2021,"48,72"
1/1/2021,"42,51"
31/12/2020,"48,66"
30/12/2020,"48,98"
29/12/2020,"38,66"
28/12/2020,"20,04"
27/12/2020,"26,51"
26/12/2020,"32,86"
25/12/2020,"16,04"
24/12/2020,"39,94"
23/12/2020,"46,30"
22/12/2020,"46,71"
21/12/2020,"46,79"
20/12/2020,"43,42"
19/12/2020,"44,26"
18/12/2020,"49,11"
17/12/2020,"56,87"
16/12/2020,"49,34"
15/12/2020,"48,92"
14/12/2020,"46,49"
13/12/2020,"43,19"
12/12/2020,"36,27"
11/12/2020,"37,25"
10/12/2020,"43,42"
9/12/2020,"47,52"
8/12/2020,"27,48"
7/12/2020,"38,02"
6/12/2020,"39,99"
5/12/2020,"45,21"
4/12/2020,"43,36"
3/12/2020,"49,49"
2/12/2020,"49,46"
1/12/2020,"50,36"
30/11/2020,"52,23"
29/11/2020,"45,44"
28/11/2020,"48,07"
27/11/2020,"52,56"
26/11/2020,"48,16"
25/11/2020,"47,34"
24/11/2020,"46,68"
23/11/2020,"50,51"
22/11/2020,"42,00"
21/11/2020,"40,25"
20/11/2020,"41,30"
19/11/2020,"39,08"
18/11/2020,"42,46"
17/11/2020,"44,75"
16/11/2020,"42,48"
15/11/2020,"24,14"
14/11/2020,"38,11"
13/11/2020,"44,52"
12/11/2020,"45,35"
11/11/2020,"43,30"
10/11/2020,"50,67"
9/11/2020,"45,62"
8/11/2020,"34,64"
7/11/2020,"33,53"
6/11/2020,"34,98"
5/11/2020,"33,99"
4/11/2020,"38,80"
3/11/2020,"39,02"
2/11/2020,"40,89"
1/11/2020,"27,22"
31/10/2020,"35,77"
30/10/2020,"41,58"
29/10/2020,"44,94"
28/10/2020,"43,36"
27/10/2020,"39,95"
26/10/2020,"34,43"
25/10/2020,"14,78"
24/10/2020,"32,25"
23/10/2020,"45,19"
22/10/2020,"45,22"
21/10/2020,"36,58"
20/10/2020,"36,03"
19/10/2020,"35,71"
18/10/2020,"40,26"
17/10/2020,"42,37"
16/10/2020,"43,33"
15/10/2020,"39,33"
14/10/2020,"36,74"
13/10/2020,"40,47"
12/10/2020,"38,38"
11/10/2020,"27,84"
10/10/2020,"32,49"
9/10/2020,"44,39"
8/10/2020,"43,95"
7/10/2020,"43,02"
6/10/2020,"41,00"
5/10/2020,"35,12"
4/10/2020,"14,40"
3/10/2020,"19,13"
2/10/2020,"24,80"
1/10/2020,"41,48"
30/9/2020,"49,15"
29/9/2020,"48,35"
28/9/2020,"41,43"
27/9/2020,"24,72"
26/9/2020,"29,25"
25/9/2020,"26,89"
24/9/2020,"39,72"
23/9/2020,"44,98"
22/9/2020,"50,67"
21/9/2020,"49,26"
20/9/2020,"39,17"
19/9/2020,"39,34"
18/9/2020,"43,38"
17/9/2020,"47,11"
16/9/2020,"51,05"
15/9/2020,"48,90"
14/9/2020,"43,49"
13/9/2020,"35,06"
12/9/2020,"40,39"
11/9/2020,"46,96"
10/9/2020,"45,10"
9/9/2020,"46,08"
8/9/2020,"41,54"
7/9/2020,"39,53"
6/9/2020,"31,67"
5/9/2020,"35,20"
4/9/2020,"43,97"
3/9/2020,"46,16"
2/9/2020,"44,20"
1/9/2020,"46,01"
31/8/2020,"42,01"
30/8/2020,"33,75"
29/8/2020,"30,96"
28/8/2020,"39,80"
27/8/2020,"46,25"
26/8/2020,"39,49"
25/8/2020,"39,85"
24/8/2020,"38,70"
23/8/2020,"29,22"
22/8/2020,"32,17"
21/8/2020,"33,58"
20/8/2020,"34,50"
19/8/2020,"34,90"
18/8/2020,"38,51"
17/8/2020,"36,21"
16/8/2020,"29,08"
15/8/2020,"31,55"
14/8/2020,"36,71"
13/8/2020,"40,52"
12/8/2020,"39,27"
11/8/2020,"38,88"
10/8/2020,"38,09"
9/8/2020,"34,65"
8/8/2020,"36,91"
7/8/2020,"38,60"
6/8/2020,"37,36"
5/8/2020,"36,43"
4/8/2020,"35,40"
3/8/2020,"36,62"
2/8/2020,"28,64"
1/8/2020,"33,50"
31/7/2020,"42,07"
30/7/2020,"40,45"
29/7/2020,"37,75"
28/7/2020,"35,89"
27/7/2020,"38,28"
26/7/2020,"29,78"
25/7/2020,"33,32"
24/7/2020,"36,10"
23/7/2020,"42,04"
22/7/2020,"40,84"
21/7/2020,"36,07"
20/7/2020,"35,55"
19/7/2020,"30,45"
18/7/2020,"30,83"
17/7/2020,"32,17"
16/7/2020,"34,89"
15/7/2020,"31,06"
14/7/2020,"33,62"
13/7/2020,"33,96"
12/7/2020,"28,80"
11/7/2020,"29,11"
10/7/2020,"37,95"
9/7/2020,"39,95"
8/7/2020,"37,79"
7/7/2020,"35,20"
6/7/2020,"28,39"
5/7/2020,"25,86"
4/7/2020,"28,68"
3/7/2020,"34,92"
2/7/2020,"34,51"
1/7/2020,"37,45"
30/6/2020,"37,58"
29/6/2020,"37,40"
28/6/2020,"29,53"
27/6/2020,"30,46"
26/6/2020,"37,76"
25/6/2020,"39,43"
24/6/2020,"37,41"
23/6/2020,"34,54"
22/6/2020,"30,35"
21/6/2020,"25,91"
20/6/2020,"31,81"
19/6/2020,"33,60"
18/6/2020,"35,34"
17/6/2020,"34,26"
16/6/2020,"31,07"
15/6/2020,"31,76"
14/6/2020,"26,61"
13/6/2020,"21,20"
12/6/2020,"20,29"
11/6/2020,"23,71"
10/6/2020,"30,72"
9/6/2020,"29,07"
8/6/2020,"27,00"
7/6/2020,"19,60"
6/6/2020,"28,52"
5/6/2020,"27,70"
4/6/2020,"24,12"
3/6/2020,"32,68"
2/6/2020,"34,86"
1/6/2020,"34,23"
31/5/2020,"29,70"
30/5/2020,"29,71"
29/5/2020,"33,08"
28/5/2020,"29,29"
27/5/2020,"25,05"
26/5/2020,"22,21"
25/5/2020,"23,79"
24/5/2020,"11,49"
23/5/2020,"17,48"
22/5/2020,"29,44"
21/5/2020,"28,12"
20/5/2020,"26,83"
19/5/2020,"26,06"
18/5/2020,"26,12"
17/5/2020,"15,62"
16/5/2020,"16,19"
15/5/2020,"20,14"
14/5/2020,"24,47"
13/5/2020,"25,30"
12/5/2020,"24,24"
11/5/2020,"15,32"
10/5/2020,"12,71"
9/5/2020,"18,71"
8/5/2020,"20,05"
7/5/2020,"20,94"
6/5/2020,"22,39"
5/5/2020,"18,24"
4/5/2020,"16,15"
3/5/2020,"14,15"
2/5/2020,"11,31"
1/5/2020,"4,63"
30/4/2020,"7,50"
29/4/2020,"10,69"
28/4/2020,"18,59"
27/4/2020,"19,99"
26/4/2020,"15,22"
25/4/2020,"17,63"
