OMIE - Mercado de electricidad,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Tecnologias que marcan el precio marginal del mercado diario,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Dia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01/01/21,HI,RE,HI,HI,HI,HI,HI,HI,HI,RE,HI,HI,HI,HI,HI,HI,RE,RE,HI,HI,HI,HI,HI,RE
02/01/21,RE,RE,RE,RE,HI,HI,RE,RE,HI,HI,RE,HI,HI,HI,HI,HI,HI,BG,HI,HI,BG,RE,RE,HI
03/01/21,RE,RE,RE,RE,RE,RE,RE,HI,HI,HI,RE,HI,RE,RE,TCC,RE,RE,HI,HI,NaN,NaN,HI,HI,BG
04/01/21,HI,HI,RE,HI,HI,HI,BG,BG,HI,HI,BG,RE,BG,BG,BG,HI,RE,RE,BG,BG,HI,BG,BG,HI
05/01/21,HI,HI,HI,RE,NaN,NaN,HI,HI,TCC,BG,RE,RE,BG,BG,HI,HI,HI,RE,BG,BG,TCC,HI,HI,BG
06/01/21,HI,HI,HI,HI,HI,HI,HI,HI,BG,HI,HI,BG,BG,HI,TCC,TCC,HI,RE,HI,HI,BG,BG,HI,HI
07/01/21,RE,HI,TER,HI,RE,HI,HI,HI,HI,BG,NaN,NaN,NaN,NaN,NaN,NaN,HI,NaN,RE,TCC,HI,BG,NaN,RE
08/01/21,HI,TER,TER,HI,HI,TER,TER,HI,HI,HI,BG,HI,HI,HI,HI,HI,HI,HI,HI,HI,BG,HI,HI,HI
09/01/21,TER,TER,HI,HI,HI,HI,HI,TER,HI,TER,RE,HI,TCC,TCC,TER,TER,HI,HI,HI,BG,BG,HI,BG,RE
10/01/21,HI,HI,HI,RE,RE,RE,HI,HI,HI,HI,HI,HI,HI,TER,TER,TER,TER,HI,BG,HI,NaN,BG,HI,HI
11/01/21,HI,HI,HI,RE,RE,HI,TER,TER,HI,HI,HI,TCC,RE,TCC,RE,TCC,TCC,HI,HI,HI,HI,HI,BG,TCC
12/01/21,RE,TER,TER,HI,HI,HI,TCC,HI,HI,HI,HI,HI,HI,HI,HI,TCC,NaN,HI,HI,HI,HI,HI,BG,TCC
13/01/21,HI,HI,TER,RE,HI,TER,TCC,BG,HI,BG,HI,HI,HI,HI,HI,HI,HI,HI,BG,HI,HI,HI,HI,BG
14/01/21,BG,TER,HI,RE,HI,HI,HI,TCC,BG,HI,RE,BG,HI,RE,HI,HI,HI,HI,BG,BG,RE,HI,HI,HI
15/01/21,HI,RE,HI,HI,RE,HI,HI,TCC,HI,HI,HI,HI,HI,TER,TER,RE,HI,HI,HI,HI,HI,HI,HI,RE
16/01/21,HI,TER,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,BG,HI,HI,BG,HI
17/01/21,HI,RE,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,RE,HI,BG,BG,BG,TCC
18/01/21,TCC,TCC,HI,RE,NaN,HI,HI,HI,HI,BG,HI,HI,HI,HI,TCC,HI,HI,BG,HI,RE,HI,HI,HI,TCC
19/01/21,HI,HI,HI,TER,HI,TER,TER,HI,BG,BG,HI,HI,BG,HI,HI,RE,HI,TCC,HI,BG,HI,HI,HI,RE
20/01/21,HI,RE,TCC,HI,RE,HI,RE,HI,HI,HI,HI,HI,HI,HI,HI,TCC,HI,HI,HI,HI,BG,NaN,HI,RE
21/01/21,HI,RE,RE,RE,RE,RE,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI
22/01/21,HI,RE,RE,RE,RE,RE,RE,HI,HI,HI,HI,HI,HI,RE,HI,HI,RE,HI,HI,HI,HI,HI,HI,HI
23/01/21,HI,HI,RE,HI,RE,RE,RE,RE,RE,HI,HI,RE,HI,HI,HI,HI,HI,RE,HI,HI,HI,HI,NaN,HI
24/01/21,RE,RE,RE,RE,RE,RE,RE,RE,RE,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI
25/01/21,HI,HI,HI,RE,RE,HI,HI,HI,BG,HI,BG,BG,TER,TCC,TCC,RE,HI,HI,BG,BG,BG,HI,RE,NaN
26/01/21,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,RE,HI,HI,BG,BG,HI,HI,BG,BG,HI,TCC,HI
27/01/21,HI,HI,HI,HI,HI,HI,TCC,HI,BG,BG,RE,HI,HI,TCC,HI,HI,HI,BG,HI,HI,BG,TCC,HI,HI
28/01/21,HI,HI,HI,RE,RE,HI,HI,HI,HI,BG,BG,NaN,HI,HI,TCC,HI,HI,HI,BG,BG,HI,BG,TCC,HI
29/01/21,RE,HI,HI,RE,RE,RE,HI,HI,HI,HI,HI,BG,HI,HI,HI,HI,HI,HI,HI,BG,BG,NaN,HI,HI
30/01/21,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,HI,RE,RE,RE,RE
31/01/21,RE,RE,NaN,RE,RE,RE,RE,RE,RE,NaN,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE
01/02/21,RE,RE,RE,RE,RE,RE,RE,RE,TER,HI,RE,BG,RE,RE,RE,RE,RE,BG,HI,HI,RE,HI,HI,BG
02/02/21,RE,HI,RE,RE,RE,HI,RE,HI,HI,BG,HI,BG,HI,HI,HI,HI,HI,BG,BG,HI,HI,BG,HI,RE
03/02/21,RE,RE,RE,HI,RE,RE,RE,HI,HI,BG,BG,TCC,HI,HI,HI,HI,HI,RE,HI,HI,HI,TCC,TCC,HI
04/02/21,HI,HI,HI,HI,HI,RE,HI,HI,HI,HI,HI,HI,HI,BG,HI,HI,TCC,HI,HI,HI,TCC,HI,HI,HI
05/02/21,HI,RE,RE,RE,RE,HI,HI,HI,BG,BG,BG,BG,HI,HI,HI,HI,HI,BG,BG,HI,HI,HI,HI,HI
06/02/21,HI,RE,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,HI,RE,HI,HI,HI,HI,HI,HI,HI,HI,RE,RE
07/02/21,HI,RE,RE,RE,RE,RE,RE,RE,RE,HI,HI,HI,HI,HI,HI,RE,RE,HI,HI,RE,BG,RE,HI,HI
08/02/21,RE,RE,RE,RE,HI,RE,RE,RE,BG,BG,HI,RE,RE,RE,RE,RE,RE,RE,RE,HI,HI,HI,HI,RE
09/02/21,RE,RE,RE,HI,RE,RE,RE,BG,BG,BG,RE,HI,HI,HI,RE,HI,RE,RE,HI,RE,BG,HI,HI,RE
10/02/21,RE,RE,RE,RE,RE,RE,RE,RE,BG,HI,RE,HI,HI,BG,RE,RE,BG,BG,HI,NaN,HI,RE,HI,RE
11/02/21,RE,RE,RE,RE,RE,HI,HI,BG,BG,HI,BG,BG,NaN,NaN,TCC,HI,HI,HI,TCC,RE,RE,BG,BG,HI
12/02/21,RE,HI,RE,NaN,NaN,RE,HI,HI,NaN,HI,BG,HI,HI,RE,NaN,RE,RE,RE,HI,TCC,BG,TCC,BG,HI
13/02/21,HI,HI,RE,RE,TCC,RE,RE,HI,RE,HI,HI,HI,HI,HI,HI,RE,HI,BG,HI,RE,HI,RE,BG,HI
14/02/21,HI,HI,HI,RE,RE,HI,HI,HI,RE,HI,HI,RE,RE,RE,RE,RE,RE,RE,TCC,HI,HI,RE,RE,RE
15/02/21,RE,NaN,RE,RE,HI,RE,RE,HI,RE,RE,HI,HI,HI,HI,RE,RE,RE,RE,HI,BG,BG,BG,HI,NaN
16/02/21,RE,RE,RE,NaN,HI,RE,HI,TCC,HI,HI,RE,TCC,HI,HI,RE,HI,NaN,NaN,HI,HI,HI,HI,HI,BG
17/02/21,RE,HI,HI,HI,RE,HI,RE,HI,HI,HI,RE,BG,HI,HI,RE,RE,RE,HI,HI,BG,HI,HI,HI,HI
18/02/21,RE,RE,RE,HI,RE,RE,RE,RE,HI,BG,BG,BG,BG,BG,BG,BG,BG,BG,HI,HI,NaN,HI,BG,BG
19/02/21,RE,RE,RE,RE,RE,RE,TER,RE,HI,BG,NaN,RE,RE,RE,HI,RE,RE,RE,TER,BG,BG,HI,HI,HI
20/02/21,RE,NaN,HI,HI,HI,RE,RE,HI,RE,RE,RE,HI,RE,RE,RE,RE,RE,NaN,RE,HI,RE,RE,HI,HI
21/02/21,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,HI,HI,RE,RE,RE,HI,RE,BG,BG,BG,HI
22/02/21,BG,TER,RE,TER,TER,HI,HI,BG,NaN,BG,BG,BG,BG,BG,HI,HI,BG,RE,HI,HI,HI,HI,BG,TCC
23/02/21,HI,RE,RE,HI,HI,RE,HI,MIP,HI,HI,BG,HI,HI,RE,RE,HI,RE,NaN,BG,HI,BG,RE,NaN,HI
24/02/21,NaN,HI,RE,RE,RE,RE,HI,RE,BG,HI,HI,TCC,HI,RE,RE,RE,RE,TCC,BG,BG,RE,NaN,TCC,HI
25/02/21,HI,HI,HI,HI,HI,HI,HI,HI,HI,NaN,HI,BG,BG,BG,BG,BG,BG,RE,BG,HI,RE,HI,RE,BG
26/02/21,HI,HI,RE,RE,RE,RE,BG,RE,HI,HI,HI,HI,NaN,HI,RE,BG,TCC,BG,HI,HI,BG,BG,HI,RE
27/02/21,NaN,HI,HI,HI,HI,HI,BG,HI,HI,HI,HI,HI,HI,HI,HI,HI,TER,HI,HI,RE,HI,NaN,HI,HI
28/02/21,HI,HI,HI,HI,HI,HI,RE,RE,HI,HI,HI,RE,RE,RE,RE,HI,HI,RE,RE,HI,BG,BG,HI,RE
01/03/21,HI,HI,RE,RE,RE,RE,HI,HI,HI,HI,HI,TCC,RE,BG,BG,BG,BG,BG,HI,HI,HI,HI,HI,RE
02/03/21,TCC,HI,HI,HI,HI,HI,HI,RE,HI,HI,BG,TCC,HI,HI,HI,HI,HI,HI,HI,HI,HI,BG,HI,BG
03/03/21,TCC,RE,RE,RE,RE,HI,BG,HI,HI,HI,HI,TCC,HI,HI,TCC,TCC,TCC,BG,BG,RE,BG,BG,HI,HI
04/03/21,HI,RE,RE,HI,HI,HI,HI,BG,BG,MIP,HI,HI,TCC,HI,HI,HI,NaN,BG,BG,HI,HI,HI,RE,HI
05/03/21,HI,HI,HI,RE,HI,HI,HI,MIP,BG,BG,TCC,HI,HI,HI,HI,RE,HI,HI,HI,BG,BG,HI,HI,HI
06/03/21,HI,HI,RE,RE,HI,RE,RE,HI,HI,HI,NaN,HI,HI,RE,HI,HI,HI,HI,RE,BG,RE,HI,HI,TCC
07/03/21,HI,TCC,TCC,TCC,HI,TCC,HI,NaN,TCC,RE,NaN,NaN,TCC,HI,TCC,NaN,HI,HI,RE,BG,HI,HI,NaN,RE
08/03/21,TCC,HI,HI,HI,HI,HI,HI,HI,HI,HI,BG,BG,RE,RE,RE,TCC,HI,HI,BG,BG,BG,HI,HI,HI
09/03/21,HI,RE,RE,HI,RE,HI,TCC,HI,HI,HI,BG,RE,RE,HI,TCC,HI,NaN,HI,HI,BG,RE,RE,RE,RE
10/03/21,TCC,HI,HI,HI,RE,HI,HI,BG,HI,HI,HI,NaN,TCC,HI,HI,RE,HI,RE,HI,HI,BG,HI,HI,HI
11/03/21,HI,HI,RE,HI,RE,RE,RE,HI,HI,HI,HI,RE,HI,RE,RE,RE,RE,RE,BG,HI,BG,NaN,HI,RE
12/03/21,NaN,RE,RE,RE,RE,RE,HI,HI,HI,HI,TCC,HI,RE,RE,RE,RE,RE,HI,HI,NaN,HI,NaN,HI,BG
13/03/21,HI,HI,RE,HI,HI,HI,HI,HI,HI,HI,HI,RE,RE,RE,HI,RE,RE,RE,HI,HI,HI,HI,HI,HI
